,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,21.31,93,75,0.38,CL,1622608235
1,Hermanus,-34.4187,19.2345,54.9,76,7,4.56,ZA,1622608235
2,Laguna,38.421,-121.4238,91.9,41,1,6.42,US,1622608236
3,Cape Town,-33.9258,18.4232,56.1,91,0,1.99,ZA,1622608236
4,Nemuro,43.3236,145.575,68.43,84,100,12.77,JP,1622608237
5,Ancud,-41.8697,-73.8203,44.22,77,99,1.9,CL,1622608066
6,Albany,42.6001,-73.9662,57.52,83,94,2.93,US,1622608001
7,Tooele,40.5308,-112.2983,70.2,36,1,1.28,US,1622608237
8,Atuona,-9.8,-139.0333,79.74,74,36,15.14,PF,1622608237
9,Patterson,37.4716,-121.1297,88.25,40,8,4.38,US,1622608238
10,Carnarvon,-24.8667,113.6333,69.87,60,89,12.66,AU,1622608238
11,Maţāy,28.419,30.7792,75.33,47,0,17.43,EG,1622608238
12,Port Hedland,-20.3167,118.5667,78.85,24,75,16.11,AU,1622608239
13,Coburg,50.2667,10.9667,59.43,81,97,1.01,DE,1622608239
14,Villamontes,-21.25,-63.5,62.01,79,60,5.41,BO,1622608239
15,Clovis,36.8252,-119.7029,93.09,32,20,1.99,US,1622608239
16,Rikitea,-23.1203,-134.9692,71.92,59,25,20.45,PF,1622608240
17,Salalah,17.0151,54.0924,84.29,74,40,3.44,OM,1622608240
18,Puerto Escondido,15.85,-97.0667,82.6,78,51,3.58,MX,1622608241
19,Yerbogachën,61.2767,108.0108,76.64,26,28,7.96,RU,1622608241
20,Alofi,-19.0595,-169.9187,71.49,94,90,5.75,NU,1622608241
21,Saint-Philippe,-21.3585,55.7679,76.55,81,66,12.53,RE,1622608242
22,New Norfolk,-42.7826,147.0587,60.3,44,99,3.76,AU,1622608242
23,Hilo,19.7297,-155.09,76.8,87,63,1.01,US,1622608105
24,Ushuaia,-54.8,-68.3,29.86,100,75,12.66,AR,1622607992
25,Kahului,20.8947,-156.47,80.96,75,47,11.99,US,1622608242
26,Hamilton,39.1834,-84.5333,65.35,91,100,3.44,US,1622608146
27,Ahipara,-35.1667,173.1667,58.68,73,85,10.11,NZ,1622608243
28,Tuktoyaktuk,69.4541,-133.0374,30.2,93,90,11.5,CA,1622608243
29,Busselton,-33.65,115.3333,62.1,64,97,2.89,AU,1622608243
30,Ubari,26.5921,12.7805,83.75,21,68,16.26,LY,1622608243
31,Pangnirtung,66.1451,-65.7125,33.1,98,100,3.11,CA,1622608244
32,Kapaa,22.0752,-159.319,82.38,76,16,1.99,US,1622608244
33,Vigrestad,58.5667,5.7,60.82,69,44,13.85,NO,1622608244
34,Bredasdorp,-34.5322,20.0403,43.92,93,31,4.05,ZA,1622608244
35,Hithadhoo,-0.6,73.0833,83.7,68,100,15.26,MV,1622608245
36,Jamestown,42.097,-79.2353,58.33,80,100,2.98,US,1622608002
37,Hashtrūd,37.4779,47.0508,72.57,20,0,6.49,IR,1622608245
38,Egvekinot,66.3167,-179.1667,35.11,57,6,1.23,RU,1622608245
39,George Town,5.4112,100.3354,89.55,70,20,6.91,MY,1622608208
